fds,Ticker,Name,Price-to-Earnings,Price-to-Book,Book-to-Market,Dividends,Div_per_share,Common shares,Ave_shares_diluted,MCAP,Total-_Equity,Book_value_per_share,Sectore
1,ACET,ACETO CORP,-0.13,0.60,1.92,-4.35,0.12,30765639.00,35273000.00,72.97,73.76,2.09,Drug Manufacturers
1,ACOR,ACORDA THERAPEUTICS INC,-6.60,1.62,0.61,0.00,0.00,47558339.00,46999000.00,,598.63,12.82,Biotechnology
1,ACT,"Actavis, Inc.",-6.00,0.92,1.06,0.00,0.00,133600000.00,131800000.00,3529.71,3748.00,28.73,
1,AHFD,"Active Health Foods, Inc.",,,,,,4881571233.00,,,,,
1,ACPW,ACTIVE POWER INC,,,,0.00,0.00,23421922.00,-36023500.00,,0.18,0.01,
1,ATVI,Activision Blizzard,67.00,3.63,0.27,-259.00,0.34,763050718.00,771500000.00,59094.03,10659.00,14.02,Application Software
1,ATU,ACTUANT CORP,-68.54,2.66,0.37,-2.39,0.04,61016012.00,60441000.00,1669.74,558.71,9.24,Industrial Products
1,AYI,ACUITY BRANDS INC,15.33,3.12,0.33,-21.40,0.52,40182832.00,41000000.00,5185.36,1716.80,41.98,Computer Hardware
1,Golf,Acushnet Holdings Corp.,17.63,1.93,0.52,-38.28,0.51,74760062.00,75130455.00,1937.01,913.59,11.85,Travel & Leisure
1,AE,"ADAMS RESOURCES & ENERGY, INC.",,1.64,0.91,-3.71,0.59,4217596.00,6324992.00,178.40,151.27,23.92,Oil & Gas - Integrated
1,ADTM,"Adaptive Medias, Inc.",,0.00,0.00,,,105666495.00,20998110.00,0.00,-7.93,-0.38,
1,ADPT,Adeptus Health Inc.,0.25,0.06,11.59,0.00,0.00,21120029.00,15019109.00,29.78,345.20,17.32,
1,ADIL,"ADIAL PHARMACEUTICALS, INC.",,,0.20,,,6556249.00,,,4.93,,Biotechnology
1,ADNT,Adient plc,-1.38,0.84,1.19,-103.00,1.10,93395662.00,93300000.00,3183.98,2764.00,25.64,Autos
1,ADBE,ADOBE SYSTEMS INC,48.46,13.20,0.08,0.00,0.00,488133527.00,499660750.00,133218.15,8861.93,18.03,Application Software
1,ADOM,"ADOMANI, INC.",-2.62,3.07,0.32,,,72732292.00,71036058.00,,8.56,0.12,Autos
1,ADT,ADT Corp,5.12,0.49,2.04,-142.00,0.85,165618879.00,168250000.00,1430.95,2924.00,17.48,Computer Hardware
1,ADRO,"ADURO BIOTECH, INC.",-2.11,1.27,0.77,0.00,0.00,79404084.00,78228843.00,,157.70,2.02,Biotechnology
1,AAP,ADVANCE AUTO PARTS INC,22.15,3.36,0.30,-17.85,0.24,72893719.00,74196000.00,12472.32,3659.64,49.49,Retail - Apparel & Specialty
1,ADES,"Advanced Emissions Solutions, Inc.",6.15,2.74,,-20.46,1.01,,20339750.00,239.94,79.60,3.93,Industrial Products
1,AEIS,ADVANCED ENERGY INDUSTRIES INC,17.43,2.85,0.36,0.00,0.00,38489055.00,39721250.00,1899.35,599.58,15.21,Computer Hardware
1,AMD,ADVANCED MICRO DEVICES INC,56.51,17.88,0.05,0.00,0.00,999407216.00,1101000000.00,25795.12,1125.00,1.16,Semiconductors
1,ASNB,AdvanSource Biomaterials Corp,3.63,-0.98,-0.51,0.00,0.00,21490621.00,10756246.00,1.50,-0.55,-0.05,
1,ADVM,"Adverum Biotechnologies, Inc.",-2.91,0.97,0.94,0.00,0.00,62868379.00,57169500.00,349.83,215.55,3.77,Biotechnology
1,ACM,Aecom Technology Corp,35.10,1.12,0.91,0.00,0.00,156351525.00,162261000.00,5218.93,4278.37,25.72,Engineering & Construction
1,AGLE,"Aeglea BioTherapeutics, Inc.",-4.16,2.35,0.34,0.00,0.00,23962114.00,18984801.00,163.65,63.68,3.35,Biotechnology
1,AEHR,AEHR TEST SYSTEMS,-46.43,2.55,0.38,0.00,0.00,22253698.00,22781800.00,42.81,18.12,0.83,Semiconductors
1,AEPI,AEP INDUSTRIES INC,19.51,4.96,0.19,-3.83,0.75,5531474.00,5139843.00,608.19,113.29,22.17,
1,ACY,AEROCENTURY CORP,9.31,0.38,2.40,0.00,0.00,1545924.00,1416243.00,21.25,43.12,30.45,Consulting & Outsourcing
1,AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC.",45.37,7.07,0.13,0.00,0.00,78300000.00,75075000.00,2464.32,396.40,5.36,Aerospace & Defense
1,ARO,AEROPOSTALE INC,,,-8.66,,,80643212.00,80135250.00,12.10,-104.71,,
1,AVAV,AeroVironment Inc,33.72,3.92,0.25,0.00,0.00,23928373.00,24051153.00,2440.08,444.18,18.84,Aerospace & Defense
1,AES,AES CORP,-37.92,1.74,0.57,-337.00,0.51,662297479.00,662000000.00,9754.84,5709.00,5.00,Utilities - Regulated
1,AET,AETNA INC /PA/,18.68,3.69,0.27,-654.00,2.00,327400000.00,330250000.00,66825.61,18563.00,55.84,Health Care Plans
1,AMG,"AFFILIATED MANAGERS GROUP, INC.",8.66,1.16,0.89,0.00,0.00,52672885.00,56775000.00,7135.84,5290.10,66.73,Asset Management
1,AGHI,"Affinion Group Holdings, Inc.",0.00,0.00,-13760.37,,,890456.00,13638580.00,0.11,-1225.30,-89.95,
1,AGI,"Affinion Group, Inc.",,,,0.00,,,,,-1529.50,,Metals & Mining
1,AFL,AFLAC INC,9.57,2.05,0.69,-765.00,0.71,761279345.00,1081060750.00,35702.71,23234.00,21.64,Insurance - Life
1,AGCO,AGCO CORP /DE,20.33,1.58,0.64,-46.70,0.59,78284171.00,80325000.00,4812.16,2968.90,36.66,Farm & Construction Machinery
1,A,AGILENT TECHNOLOGIES INC,67.89,4.43,0.23,-187.00,0.58,318769547.00,326250000.00,22236.67,4568.00,14.15,Medical Diagnostics & Research
1,AGYS,AGILYSYS INC,-49.23,3.50,0.28,0.00,0.00,23525482.00,22801000.00,358.51,106.97,4.65,Application Software
1,AGIO,AGIOS PHARMACEUTICALS INC,-11.20,5.05,0.19,0.00,0.00,58178676.00,55085073.00,,760.21,13.80,Biotechnology
1,SO,AGL RESOURCES INC,,1.69,0.58,,,1028888684.00,1020000000.00,44540.86,28389.00,24.55,Utilities - Regulated
1,ALRN,AILERON THERAPEUTICS INC,-0.32,0.39,2.60,0.00,0.00,14748475.00,14789030.00,,26.03,1.76,Biotechnology
1,AIRI,AIR INDUSTRIES GROUP,-1.30,1.72,0.54,0.00,0.00,27743867.00,25799289.00,37.79,17.24,0.67,Aerospace & Defense
1,AL,AIR LEASE CORP,4.34,0.84,1.19,-38.90,0.37,104069215.00,112264978.00,4698.60,4478.92,43.15,Consulting & Outsourcing
1,APD,AIR PRODUCTS & CHEMICALS INC /DE/,22.66,3.02,0.33,-897.80,4.09,219272496.00,220800000.00,37030.74,11176.30,49.51,Chemicals
1,ARG,"Airgas, Inc.",,,0.20,-175.38,,72600000.00,74377000.00,10378.17,2045.30,,
1,AKS,AK STEEL HOLDING CORP,-44.96,2.63,0.38,0.00,0.00,315541965.00,316825000.00,1522.92,437.80,0.31,Steel
1,AKAM,AKAMAI TECHNOLOGIES INC,52.17,3.76,0.28,0.00,0.00,162866026.00,170731250.00,11227.99,3155.53,18.68,Application Software
1,AKER,"Akers Biosciences, Inc.",-1.36,1.95,0.47,0.00,0.00,12474028.00,11406846.00,37.64,7.72,0.68,Medical Instruments & Equipment
1,AKRX,AKORN INC,-3.35,1.29,0.77,0.00,0.00,125492373.00,125088000.00,792.85,652.29,5.21,Drug Manufacturers
1,ALG,ALAMO GROUP INC,16.55,2.00,0.49,-5.00,0.43,11735274.00,11750750.00,1085.12,496.89,42.71,Farm & Construction Machinery
1,ALK,"ALASKA AIR GROUP, INC.",10.78,2.27,0.44,-155.00,1.26,123299895.00,123494250.00,8042.60,3791.00,30.82,Airlines
1,ALB,ALBEMARLE CORP,30.67,2.88,0.36,-144.27,1.32,106205885.00,110744750.00,11312.78,3686.28,32.21,Chemicals
1,AA,Alcoa Corp,-517.00,0.85,1.17,0.00,0.00,186494049.00,189000000.00,7842.33,7285.00,28.16,Metals & Mining
1,ALR,ALERE INC.,-16.02,2.52,0.40,,,87577345.00,,4465.57,1765.57,13.25,Medical Diagnostics & Research
1,ARS,"Aleris International, Inc.",,,,,,,,,682.90,,
1,ALEX,"Alexander & Baldwin, Inc.",,1.01,0.90,-156.60,2.41,72027109.00,70100000.00,1490.15,1356.60,20.67,REITs
1,ALX,ALEXANDERS INC,39.99,5.47,0.18,-90.82,17.75,5107290.00,5116501.00,1766.87,298.15,58.27,REITs
1,ARE,Alexandria Real Estate Equities Inc,28.36,1.68,0.56,-368.16,3.67,107526601.00,100768250.00,12995.47,7413.38,67.78,REITs
1,ALXN,ALEXION PHARMACEUTICALS INC,180.41,3.00,0.33,0.00,0.00,223096632.00,224550000.00,28804.94,9169.70,41.12,Biotechnology
1,,ALICO INC,20.47,1.50,0.73,-1.97,0.24,7454795.00,8301000.00,,177.60,20.91,Consumer Packaged Goods
1,ALGN,Align Technology Inc,57.67,15.14,0.07,0.00,0.00,79984381.00,81747000.00,28361.82,1192.98,14.89,Medical Devices
1,ALJJ,ALJ REGIONAL HOLDINGS INC,,0.62,1.59,0.00,0.00,38026435.00,37856000.00,62.57,91.53,2.42,Business Services
1,ALKS,Alkermes PLC,-41.81,5.06,0.20,0.00,0.00,155382787.00,154704250.00,6928.61,1150.72,7.44,Biotechnology
1,Y,Alleghany Corp,10.40,1.08,0.95,-153.97,10.11,14836571.00,15215838.00,9544.24,8733.59,564.56,Insurance - Property & Casualty
1,ATI,Allegheny Technologies Inc.,17.22,1.51,0.65,0.00,0.00,125684396.00,128325000.00,3555.82,2083.20,16.07,Industrial Products
1,ALGT,Allegiant Travel CO,9.61,2.95,0.33,-45.18,2.84,16159816.00,15926750.00,1941.56,653.00,41.04,Airlines
1,ALLE,Allegion plc,27.26,14.18,0.07,-76.70,0.81,95055763.00,95900000.00,8391.56,599.00,6.28,Consulting & Outsourcing
1,AGN,Allergan Inc.,37.13,7.29,0.13,-59.60,0.20,307605860.00,304000000.00,58497.41,7763.00,26.05,Drug Manufacturers
1,AGN,Allergan plc,23.48,0.74,1.35,-1109.30,3.30,337285952.00,336050000.00,64552.15,70520.90,209.81,Drug Manufacturers
1,ALE,Allete Inc,26.65,1.94,0.51,-113.50,2.21,51400000.00,51450000.00,3887.49,2116.10,41.29,Utilities - Regulated
1,ADS,ALLIANCE DATA SYSTEMS CORP,11.33,4.70,0.22,-123.20,2.23,54473522.00,55425000.00,12605.16,2291.20,41.47,Credit Services
1,ARLP,ALLIANCE RESOURCE PARTNERS LP,,,0.49,,,130179819.00,73508951.00,,1250.27,,Coal
1,LNT,ALLIANT ENERGY CORP,19.68,2.15,0.46,-305.90,1.32,235936447.00,232475000.00,10210.66,4770.40,19.66,Utilities - Regulated
1,AHPI,ALLIED HEALTHCARE PRODUCTS INC,-2.99,0.62,1.61,0.00,0.00,4013537.00,4013537.00,8.31,12.76,3.18,Medical Devices
1,AMOT,ALLIED MOTION TECHNOLOGIES INC,31.19,4.15,0.23,-1.05,0.11,9476382.00,9330750.00,452.85,100.48,10.88,Computer Hardware
1,AWH,Allied World Assurance Co Holdings AG,,,,-68.10,0.78,87484665.00,89194391.00,4307.74,,,
1,ALSN,Allison Transmission Holdings Inc,8.91,9.21,0.11,-82.00,0.60,129638240.00,136800000.00,7137.27,684.00,5.01,Autos
1,MDRX,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",-347.74,1.15,0.89,0.00,0.00,174714207.00,177888000.00,2397.39,1584.66,6.11,Application Software
1,ALL,ALLSTATE CORP,8.63,1.32,0.77,-715.00,2.03,344442270.00,357500000.00,35180.52,23633.00,60.66,Insurance - Property & Casualty
1,ALLY,Ally Financial Inc.,,,,-233.00,0.54,413081733.00,435196899.00,11511.86,,,Banks
1,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",-10.50,4.92,0.20,0.00,0.00,101030358.00,99388250.00,8379.45,1478.12,14.87,Biotechnology
1,ALJ,"Alon USA Energy, Inc.",-23.70,1.63,0.61,-42.72,0.60,71877464.00,71097500.00,957.41,581.35,7.29,Oil & Gas - Refining & Marketing
1,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,21.01,0.60,1.67,0.00,0.00,23787936.00,24752500.00,237.91,421.67,11.75,Semiconductors
1,ANAV,ALPHA NETWORK ALLIANCE VENTURES INC.,-8.63,-3.41,-0.29,0.00,0.00,113405751.00,,21.55,-2.67,-0.02,
1,GOOG,Alphabet,39.10,4.32,0.23,0.00,0.00,695957000.00,751289000.00,799312.89,169840.00,244.38,Online Media
1,ALTMS,"Alta Mesa Holdings, LP",,,,0.00,,,,,154.45,,
1,SRUNU,"Alta Mesa Resources, Inc. /DE",,,,0.00,,383980581.00,,3686.21,,,Conglomerates
1,ALTR,Altair Engineering Inc.,-39.65,9.01,0.11,0.00,0.00,64003328.00,70324500.00,2668.30,209.45,3.25,Application Software
1,ALTR,Altera Corp.,37.23,3.75,0.27,-217.71,0.72,302857381.00,304563250.00,12601.90,3352.46,11.09,
1,AYX,"Alteryx, Inc.",-292.43,18.42,0.05,0.00,0.00,61373000.00,60387000.00,3236.33,194.72,3.22,Application Software
1,ALT,"Altimmune, Inc.",,0.03,1.47,,,8755260.00,398061.00,278.65,39.68,99.69,Biotechnology
1,AAMC,Altisource Residential Corp,,5.09,0.20,,,53630204.00,53505552.00,2791.11,525.28,9.82,Asset Management
1,AIMC,Altra Industrial Motion Corp.,17.34,2.19,0.21,-19.97,0.69,64440696.00,29176250.00,,417.16,14.34,Industrial Products
1,MO,"ALTRIA GROUP, INC.",11.50,7.91,0.13,-5172.00,2.73,1879045481.00,1893750000.00,117476.69,15534.00,8.18,Tobacco Products
1,AMRU,AMARU INC,,0.00,0.00,0.00,0.00,235788132.00,232092061.00,0.00,-3.63,0.00,
1,AMZN,AMAZON COM INC,,20.38,0.05,0.00,0.00,488968628.00,499000000.00,921660.14,39125.00,80.63,Retail - Apparel & Specialty
1,AMBA,AMBARELLA INC,-52.85,3.17,0.33,0.00,0.00,32051011.00,33643337.00,1112.04,411.14,12.32,Semiconductors
1,AMCX,Amc Networks Inc,6.87,6.56,0.16,0.00,0.00,56928373.00,60085750.00,3617.80,544.18,4.43,Entertainment
1,AMDA,AMEDICA Corp,,0.18,,0.00,0.00,,6240972.00,3.32,8.09,1.30,Medical Devices
1,UHAL,Amerco,8.02,1.83,0.54,-39.18,2.00,19607788.00,19590247.00,6830.18,3633.17,185.46,Consulting & Outsourcing
1,AEE,AMEREN CORP,24.59,2.18,0.46,,,244295792.00,245325000.00,16021.22,7798.00,31.46,Utilities - Regulated
1,AAL,American Airlines Group Inc.,12.90,,,-188.00,0.40,460581463.00,470026250.00,16780.96,,,Airlines
1,ABMC,AMERICAN BIO MEDICA CORP,-2.96,43.36,0.02,0.00,0.00,30279368.00,29867025.00,2.69,0.06,0.00,Biotechnology
1,ACC,American Campus Communities Inc,,,,,,137031488.00,137992502.00,5618.18,,,REITs
1,AGNC,American Capital Agency Corp,5.61,0.75,1.16,-914.00,2.21,477831997.00,413150000.00,8653.54,9627.00,22.14,REITs
1,AEO,AMERICAN EAGLE OUTFITTERS INC,12.42,2.68,0.37,-93.48,0.53,176432192.00,178965000.00,3836.04,1295.41,7.31,Retail - Apparel & Specialty
1,AEP,AMERICAN ELECTRIC POWER CO INC,18.25,1.88,0.53,-1239.40,2.52,493108827.00,493348276.00,35910.25,19147.30,38.68,Utilities - Regulated
1,AXP,AMERICAN EXPRESS CO,24.88,4.30,0.23,-1296.00,1.51,854261803.00,862500000.00,92330.85,21460.00,24.94,Credit Services
1,AFG,AMERICAN FINANCIAL GROUP INC,12.62,1.77,0.56,-430.00,4.85,89253183.00,90475000.00,9853.99,5164.00,58.22,Insurance - Property & Casualty
1,AMH,American Homes 4 Rent,-357.69,0.96,1.02,-43.54,,296531294.00,286132931.00,6183.34,5989.00,18.09,REITs
1,AIG,AMERICAN INTERNATIONAL GROUP INC,-6.56,0.67,1.53,-1146.00,1.27,884648470.00,902617277.00,47620.72,59177.00,64.86,Insurance
1,ARA,"American Renal Associates Holdings, Inc.",-33.25,2.15,0.46,-0.33,0.01,32517065.00,31084526.00,639.60,242.58,-2.27,Medical Diagnostics & Research
1,AMSWA,AMERICAN SOFTWARE INC,33.16,2.75,0.37,-13.43,0.44,30406553.00,31123500.00,366.70,114.09,3.73,Application Software
1,AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,25.82,2.77,0.34,0.00,0.00,21364053.00,20287500.00,148.60,70.65,3.51,Computer Hardware
1,AMT,AMERICAN TOWER CORP /MA/,60.25,10.21,0.10,-1296.40,2.97,440487861.00,440159750.00,64269.34,6883.50,12.26,Communication Services
1,AWK,"American Water Works Company, Inc.",36.41,2.75,0.36,-311.00,1.74,180598794.00,179750000.00,16071.03,5867.00,32.78,Utilities - Regulated
1,AMWD,AMERICAN WOODMARK CORP,15.75,1.64,0.61,0.00,0.00,17263693.00,17384122.00,1314.12,616.34,35.65,Manufacturing - Apparel & Furniture
1,AMCI,"AmeriCann, Inc.",,,,0.00,0.00,21963017.00,19401643.00,,3.40,0.18,Drug Manufacturers
1,APU,AMERIGAS PARTNERS LP,,,0.17,0.00,,92977072.00,,3670.73,569.67,,Utilities - Regulated
1,AMP,AMERIPRISE FINANCIAL INC,10.53,3.42,0.31,-503.00,3.40,139356365.00,150350000.00,21839.43,5618.00,37.97,Asset Management
1,ABC,AMERISOURCEBERGEN CORP,11.68,6.49,0.16,-333.04,1.53,211933493.00,220336000.00,19597.58,3049.96,13.46,Medical Distribution
1,AME,AMETEK INC/,20.45,3.65,0.27,-117.76,0.51,232115972.00,233012000.00,18069.43,4511.91,19.52,Industrial Products
1,AMGN,AMGEN INC,59.91,9.19,0.12,-3501.00,5.13,637219244.00,686750000.00,133059.72,14349.00,21.01,Biotechnology
1,AJBI,"AMI JAMES BRANDS, INC.",,0.00,0.00,,,20278888.00,20278888.00,0.00,-0.33,-0.02,
1,FOLD,AMICUS THERAPEUTICS INC,-5.56,4.75,0.20,0.00,0.00,189289881.00,180168190.00,2504.15,397.89,2.21,Biotechnology
1,AMKR,"AMKOR TECHNOLOGY, INC.",7.67,0.82,1.21,0.00,0.00,239532959.00,239987250.00,1691.14,1821.84,7.51,Semiconductors
1,AHS,AMN HEALTHCARE SERVICES INC,10.66,2.56,0.40,0.00,0.00,46867877.00,48964250.00,1568.22,614.72,12.92,
1,APH,AMPHENOL CORP /DE/,35.06,6.60,0.15,-242.30,0.80,301327138.00,314650000.00,27187.91,4053.30,13.25,Computer Hardware
1,APC,ANADARKO PETROLEUM CORP,19.01,2.58,0.40,-407.00,0.79,504280902.00,515000000.00,35471.44,11237.00,16.92,Oil & Gas - E&P
1,ADI,ANALOG DEVICES INC,22.07,3.00,0.33,-703.31,1.90,370159553.00,374938000.00,32142.02,10988.54,29.66,Semiconductors
1,AVXL,ANAVEX LIFE SCIENCES CORP.,-5.14,4.38,0.21,0.00,0.00,46586162.00,44655725.00,110.85,20.49,0.46,Biotechnology
1,AHCP,Anchorage International Holdings Corp.,,,0.00,,,938880000.00,,84.50,0.39,,
1,ANDV,Andeavor,11.13,1.74,0.58,-365.00,2.37,151125987.00,155600000.00,23197.30,13567.00,65.32,Oil & Gas - Refining & Marketing
1,ANDE,"Andersons, Inc.",10.63,,,-18.64,,28300000.00,28382500.00,,842.64,,Retail - Defensive
1,ANGI,ANGI Homeservices Inc.,-443.45,6.88,,0.00,0.00,,503102500.00,6465.97,1133.72,2.30,Online Media
1,ANSS,ANSYS INC,42.79,4.97,0.20,0.00,0.00,83560018.00,86222250.00,14184.79,2548.55,30.27,Application Software
1,AR,ANTERO RESOURCES Corp,21.35,0.52,1.93,0.00,0.00,317114931.00,317262250.00,5891.46,8671.15,24.99,Oil & Gas - E&P
1,ANTM,Anthem Inc.,15.16,2.37,0.42,-762.90,2.96,258642095.00,263975000.00,72108.55,29094.00,112.93,Health Care Plans
1,AON,Aon plc,50.19,8.93,0.12,-375.00,1.52,240844114.00,249800000.00,37737.76,4328.00,17.22,Brokers & Exchanges
1,AXN,"AOXING PHARMACEUTICAL COMPANY, INC.",,0.51,1.98,0.00,0.00,76209195.00,77929596.00,9.15,18.09,0.25,Drug Manufacturers
1,APA,APACHE CORP,16.34,1.60,0.63,-382.00,1.00,379543642.00,384500000.00,18351.68,8946.00,19.89,Oil & Gas - E&P
1,AIV,APARTMENT INVESTMENT & MANAGEMENT CO,,,,,,155644246.00,156847000.00,6847.88,,,REITs
1,APIC,Apigee Corp,-12.46,10.46,0.09,,,30440809.00,,529.06,49.45,1.66,
1,APOG,"APOGEE ENTERPRISES, INC.",12.94,1.97,,-17.22,0.61,,28550250.00,1165.07,538.01,19.10,Building Materials
1,ARI,"Apollo Commercial Real Estate Finance, Inc.",12.17,0.88,1.00,-253.95,2.16,133853565.00,139899462.00,2298.03,2518.37,21.45,REITs
1,AAPL,APPLE INC,16.78,9.32,0.11,-13712.00,2.77,4745398000.00,5000109000.00,1083304.10,107147.00,21.62,Computer Hardware
1,ARCI,APPLIANCE RECYCLING CENTERS OF AMERICA INC /MN,-2.36,0.24,5.05,0.00,0.00,8472651.00,5033779.00,6.39,23.10,2.22,Retail - Apparel & Specialty
1,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,14.42,2.60,0.38,-45.87,1.19,38754611.00,39288000.00,2953.28,870.81,22.50,Industrial Distribution
1,AMAT,APPLIED MATERIALS INC /DE,9.99,4.84,0.22,-605.00,0.60,958606093.00,1026000000.00,35967.62,6839.00,6.75,Semiconductors
1,AMNL,"Applied Minerals, Inc.",,0.11,8.45,,,175513549.00,155674274.00,14.04,74.13,0.48,
1,AAOI,"APPLIED OPTOELECTRONICS, INC.",34.08,1.23,0.80,0.00,0.00,19798663.00,20045152.00,469.70,335.49,17.16,Semiconductors
1,APTI,Apptio Inc,-63.94,10.38,0.09,0.00,0.00,44567831.00,43201000.00,1529.36,156.68,3.63,Application Software
1,ATR,Aptargroup Inc,31.13,4.55,0.22,-80.93,1.30,62814068.00,64741750.00,6686.01,1392.06,22.35,Packaging & Containers
1,WTR,Aqua America Inc,24.19,2.95,0.34,-148.14,0.83,177939879.00,178400750.00,6589.33,2045.74,11.50,Utilities - Regulated
1,ARMK,Aramark,16.47,2.94,0.34,-103.12,0.42,246731970.00,253352000.00,10248.49,3039.65,12.33,Restaurants
1,ARMK,"Aramark Services, Inc.",,,19745.60,0.00,,1000.00,,0.04,829.32,,Restaurants
1,ABR,ARBOR REALTY TRUST INC,,0.81,1.08,-66.93,1.01,75684964.00,89483285.00,720.17,966.47,10.71,REITs
1,ARCW,"ARC Group Worldwide, Inc.",-2.25,0.84,1.09,0.00,0.00,23349478.00,21221704.00,44.75,30.48,1.44,Industrial Products
1,ACGL,Arch Capital Group LTD,12.12,0.92,0.91,-42.35,0.13,404724220.00,346462127.00,11694.36,10438.10,25.40,Insurance - Specialty
1,ACI,ARCH COAL INC,0.04,0.02,63.02,-31.57,1.54,18799400.00,21363750.00,11.36,687.14,33.54,
1,ADM,ARCHER DANIELS MIDLAND CO,11.84,1.42,0.71,-754.00,1.34,560644375.00,566750000.00,28988.80,19046.00,33.68,Consumer Packaged Goods
1,ARNC,Arconic,-31.59,1.78,0.55,-119.00,0.25,483242370.00,472500000.00,11301.14,5375.00,11.00,Industrial Products
1,ACAT,ARCTIC CAT INC,,,0.46,0.00,,13061818.00,13004500.00,241.64,110.96,,Autos
1,RCUS,"Arcus Biosciences, Inc.",,,0.50,,,44453724.00,,,245.12,,Biotechnology
